Classes	film	nature	music	athletics	video_game	economics	war	infrastructure_transport	politics	populated_areas	architecture
accompaniment	0.05365	0.02468	0.46459	0.00161	0.00167	0.01545	0.00799	0.00222	0.02377	0.00077	0.00499
accompany	0.02817	0.05224	0.05674	0.00267	0.00191	0.01725	0.07159	0.03935	0.01270	0.00094	0.00731
accompanying	0.26874	0.03528	0.01191	0.00126	0.00096	0.01423	0.07891	0.00757	0.01610	0.00136	0.00624
accomplish	0.00396	0.02900	0.01076	0.01064	0.00584	0.00499	0.05947	0.23661	0.00914	0.00055	0.01180
accomplished	0.00264	0.26901	0.09146	0.00795	0.00189	0.02401	0.02942	0.01221	0.04608	0.00101	0.02570
accomplishment	0.00174	0.93156	0.00512	0.00473	0.00051	0.00411	0.00427	0.01482	0.00378	0.00015	0.01537
accomplishments	0.00324	0.18858	0.07728	0.01187	0.00266	0.04750	0.01387	0.02364	0.06163	0.00072	0.03572
accord	0.00612	0.01559	0.04625	0.00194	0.00454	0.11242	0.00381	0.00317	0.41392	0.00066	0.05362
accordance	0.00380	0.01649	0.00420	0.00173	0.00159	0.02920	0.01609	0.35994	0.01169	0.00047	0.09573
accorded	0.00280	0.04103	0.03238	0.00649	0.00399	0.07168	0.00921	0.02804	0.06931	0.00086	0.21594
according	0.00615	0.44287	0.01269	0.00233	0.00146	0.04828	0.01001	0.05625	0.02068	0.00141	0.11552
accordingly	0.00271	0.05090	0.00420	0.00227	0.00136	0.03006	0.01489	0.46127	0.01337	0.00052	0.05545
accordion	0.01531	0.00409	0.07437	0.00188	0.00687	0.18495	0.00187	0.00024	0.19079	0.00075	0.00769
account	0.00479	0.04183	0.00742	0.00118	0.00198	0.04138	0.02981	0.23412	0.03264	0.00076	0.03001
accountability	0.00494	0.00928	0.00979	0.00123	0.00435	0.04832	0.00216	0.00117	0.84558	0.00041	0.00791
accountable	0.00557	0.01111	0.01657	0.00205	0.00604	0.06595	0.00284	0.00182	0.74061	0.00043	0.01206
accountant	0.00317	0.00320	0.00678	0.00414	0.00337	0.55653	0.00873	0.00168	0.10685	0.00030	0.00517
accounted	0.00070	0.09386	0.00269	0.00530	0.00050	0.00858	0.00312	0.71940	0.00191	0.00027	0.01561
accounting	0.00265	0.00438	0.01209	0.00415	0.00480	0.70174	0.00410	0.00316	0.05902	0.00046	0.00477
accounts	0.00568	0.02426	0.01571	0.00231	0.00691	0.32807	0.01129	0.00625	0.34550	0.00082	0.02468
accreditation	0.00351	0.00802	0.01340	0.00733	0.03017	0.26627	0.00215	0.00244	0.13720	0.00025	0.01403
accredited	0.00247	0.01305	0.00927	0.00524	0.00275	0.03255	0.04618	0.00067	0.77988	0.00067	0.00831
accumulate	0.00216	0.93009	0.00130	0.00320	0.00106	0.01009	0.00285	0.02387	0.00432	0.00020	0.03792
accumulated	0.00372	0.37148	0.01197	0.00444	0.00198	0.08754	0.00523	0.05382	0.02484	0.00099	0.16498
accumulating	0.00334	0.08681	0.04638	0.01266	0.00610	0.14006	0.00327	0.02304	0.09368	0.00041	0.06204
accumulation	0.00071	0.76730	0.01147	0.00960	0.00203	0.01130	0.05975	0.00122	0.19153	0.00102	0.02289
accuracy	0.00790	0.40944	0.00078	0.00248	0.00529	0.00537	0.00691	0.36851	0.00294	0.00022	0.01086
accurate	0.00259	0.03756	0.00068	0.00236	0.00403	0.00347	0.00876	0.84147	0.00229	0.00029	0.01057
accurately	0.00520	0.31529	0.00052	0.00222	0.00220	0.00477	0.01250	0.40739	0.00369	0.00037	0.02223
accusation	0.00556	0.00799	0.00757	0.00090	0.00276	0.02499	0.00412	0.00070	0.91293	0.00041	0.00660
accusations	0.00660	0.00749	0.00700	0.00087	0.00214	0.04008	0.00369	0.00065	0.90297	0.00044	0.00634
accused	0.00643	0.00382	0.00386	0.00074	0.00166	0.03354	0.00396	0.00059	0.91829	0.00030	0.00473
accuses	0.00756	0.01240	0.01595	0.00191	0.00396	0.04061	0.00557	0.00214	0.77495	0.00047	0.00887
accusing	0.00560	0.00408	0.00400	0.00084	0.00194	0.03321	0.00258	0.00045	0.93041	0.00030	0.00416
accustomed	0.00422	0.92069	0.00186	0.00209	0.00074	0.00648	0.00770	0.01229	0.00567	0.00021	0.03217
ace	0.00356	0.02807	0.07514	0.00350	0.00402	0.02421	0.18508	0.02375	0.04765	0.00088	0.00570
aces	0.00157	0.18196	0.06970	0.01539	0.00196	0.01077	0.05165	0.01448	0.01492	0.00044	0.00617
achieve	0.00688	0.05005	0.06951	0.00985	0.00951	0.14782	0.00742	0.01048	0.20508	0.00052	0.03888
achieved	0.00520	0.08929	0.14128	0.02246	0.00341	0.09290	0.00882	0.00767	0.09575	0.00052	0.03103
achievement	0.00195	0.82516	0.01053	0.00587	0.00064	0.00676	0.01048	0.02160	0.00550	0.00014	0.01137
achievements	0.00783	0.04622	0.09087	0.00998	0.00790	0.13711	0.01014	0.01198	0.19065	0.00056	0.03032
achieves	0.00349	0.96160	0.00207	0.00215	0.00067	0.00214	0.00622	0.01190	0.00222	0.00010	0.01025
achieving	0.00585	0.02519	0.06770	0.00715	0.01231	0.18508	0.00704	0.00480	0.28579	0.00052	0.02755
achilles	0.00069	0.15849	0.00201	0.01611	0.00098	0.00337	0.00402	0.49745	0.00204	0.00021	0.01835
acid	0.00087	0.99726	0.00039	0.00131	0.00017	0.00155	0.00122	0.00226	0.00052	0.00006	0.00635
acidic	0.00098	0.99752	0.00024	0.00075	0.00020	0.00101	0.00146	0.00261	0.00066	0.00006	0.00557
acids	0.00115	0.99365	0.00042	0.00143	0.00020	0.00231	0.00218	0.00259	0.00174	0.00006	0.01333
acknowledge	0.00617	0.12797	0.05655	0.00664	0.00264	0.04905	0.02161	0.02763	0.08767	0.00143	0.06445
