Classes	film	nature	music	athletics	video_game	economics	war	infrastructure_transport	politics	populated_areas	architecture
war	0.00455	0.00800	0.00373	0.00097	0.00036	0.00449	0.87507	0.00647	0.01707	0.00044	0.00970
ward	0.00255	0.81235	0.01122	0.00340	0.00098	0.01132	0.01091	0.01102	0.03078	0.00071	0.03396
warden	0.00378	0.05013	0.01551	0.00485	0.00619	0.06901	0.03279	0.00500	0.38613	0.00151	0.04539
wardrobe	0.48214	0.00816	0.00127	0.00101	0.00139	0.00441	0.01148	0.03907	0.00076	0.00029	0.02998
wards	0.00207	0.01106	0.00706	0.00071	0.00126	0.01158	0.00205	0.00047	0.87980	0.00090	0.01048
ware	0.00283	0.06738	0.09845	0.00445	0.00230	0.09093	0.00486	0.02785	0.03981	0.00112	0.16167
warehouse	0.00451	0.00282	0.00114	0.00093	0.00096	0.04473	0.00135	0.01471	0.00191	0.00031	0.89122
warehouses	0.00267	0.00224	0.00092	0.00061	0.00073	0.04746	0.00154	0.00734	0.00160	0.00026	0.94764
warfare	0.00107	0.00480	0.00576	0.00139	0.00790	0.01480	0.32729	0.06492	0.02361	0.00042	0.00602
warlord	0.00500	0.00311	0.00344	0.00064	0.00198	0.02749	0.02198	0.00105	0.83844	0.00038	0.00516
warm	0.00210	0.98545	0.00075	0.00196	0.00024	0.00155	0.00177	0.00632	0.00108	0.00010	0.00906
warmer	0.00112	0.99457	0.00033	0.00136	0.00018	0.00155	0.00077	0.00308	0.00074	0.00012	0.00669
warmian	0.00534	0.15838	0.01337	0.00518	0.00101	0.01736	0.02387	0.05199	0.01485	0.00116	0.22866
warming	0.00218	0.97569	0.00073	0.00247	0.00034	0.00235	0.00126	0.00832	0.00143	0.00014	0.01245
warmth	0.00205	0.98167	0.00095	0.00235	0.00025	0.00172	0.00210	0.00473	0.00157	0.00010	0.01533
warn	0.00330	0.68665	0.00757	0.00412	0.00129	0.01058	0.05046	0.01830	0.02457	0.00101	0.02475
warned	0.00939	0.01391	0.01368	0.00168	0.00399	0.05098	0.00702	0.00190	0.75388	0.00061	0.01243
warner	0.00454	0.00390	0.02031	0.00322	0.00388	0.68060	0.00315	0.00225	0.06235	0.00045	0.00529
warning	0.00540	0.05080	0.02433	0.00288	0.00309	0.04541	0.06480	0.01702	0.20006	0.00184	0.01345
warnings	0.00793	0.07204	0.06057	0.00218	0.00425	0.10460	0.01945	0.01652	0.18640	0.00153	0.03733
warns	0.00488	0.91898	0.00146	0.00176	0.00095	0.00394	0.01485	0.01685	0.00550	0.00022	0.01665
warrant	0.00471	0.01972	0.02810	0.00277	0.00213	0.04107	0.13742	0.01757	0.08377	0.00112	0.02839
warren	0.00132	0.11608	0.00135	0.00332	0.00074	0.00482	0.00712	0.64939	0.00245	0.00038	0.03716
warring	0.00936	0.01563	0.01841	0.00165	0.00875	0.09580	0.00632	0.00449	0.62607	0.00067	0.00994
warrington	0.00589	0.02819	0.06918	0.00962	0.00816	0.12095	0.01379	0.01513	0.20139	0.00072	0.03711
warrior	0.00344	0.02033	0.00410	0.00286	0.00494	0.00521	0.10838	0.41998	0.00720	0.00063	0.00422
warriors	0.01313	0.01243	0.00675	0.03549	0.02792	0.00415	0.02693	0.04536	0.00722	0.00035	0.00360
wars	0.00939	0.01245	0.00620	0.00088	0.00214	0.01452	0.49805	0.01112	0.06896	0.00068	0.00487
warsaw	0.01232	0.03304	0.02531	0.00347	0.00230	0.06879	0.03327	0.00538	0.35945	0.00104	0.02355
warship	0.00030	0.00231	0.00041	0.00039	0.00205	0.00146	0.00902	0.98288	0.00020	0.00011	0.00231
warships	0.00029	0.00352	0.00044	0.00044	0.00298	0.00380	0.01164	0.97738	0.00024	0.00012	0.00228
wartime	0.00687	0.00892	0.00423	0.00100	0.00035	0.00557	0.80725	0.01034	0.01433	0.00043	0.01072
warwick	0.00437	0.12246	0.06655	0.00915	0.00234	0.05802	0.02736	0.03632	0.05375	0.00139	0.07930
warwickshire	0.00537	0.01541	0.02481	0.01117	0.00654	0.20583	0.01655	0.00769	0.23940	0.00049	0.03295
wary	0.00602	0.02757	0.02322	0.00414	0.00826	0.21000	0.01104	0.00390	0.44941	0.00060	0.02930
wash	0.00301	0.95299	0.00062	0.00162	0.00047	0.00310	0.00220	0.03381	0.00113	0.00015	0.01848
washed	0.00241	0.98223	0.00043	0.00176	0.00027	0.00130	0.00156	0.00998	0.00080	0.00011	0.01282
washing	0.00481	0.96196	0.00055	0.00140	0.00034	0.00315	0.00255	0.01639	0.00130	0.00015	0.01977
washington	0.00309	0.18627	0.04281	0.00656	0.00200	0.06353	0.01595	0.04214	0.02914	0.00162	0.13967
wasn	0.00109	0.05990	0.00891	0.00974	0.00100	0.01428	0.00917	0.49168	0.00467	0.00040	0.02614
wasp	0.00132	0.99590	0.00028	0.00089	0.00025	0.00118	0.00083	0.01029	0.00035	0.00007	0.00335
waste	0.00329	0.81863	0.00297	0.00243	0.00103	0.01919	0.00335	0.03410	0.00950	0.00038	0.06233
wasted	0.00254	0.76889	0.02370	0.00283	0.00051	0.00549	0.00745	0.00643	0.01478	0.00012	0.01079
watch	0.01717	0.09347	0.01232	0.00137	0.00102	0.02770	0.04438	0.14314	0.01783	0.00071	0.01562
watched	0.65449	0.03008	0.00565	0.00122	0.00079	0.00595	0.03457	0.00278	0.00749	0.00070	0.00441
watches	0.00323	0.01355	0.00183	0.00226	0.00208	0.03529	0.01389	0.86594	0.00287	0.00035	0.00564
watching	0.61359	0.03978	0.00664	0.00202	0.00124	0.01078	0.02682	0.00402	0.00798	0.00078	0.00706
water	0.00217	0.96187	0.00060	0.00178	0.00042	0.00264	0.00229	0.02177	0.00125	0.00016	0.02497
waterfall	0.00106	0.99807	0.00036	0.00092	0.00027	0.00077	0.00054	0.00298	0.00023	0.00004	0.00373
waterfalls	0.00099	0.99876	0.00045	0.00097	0.00025	0.00085	0.00038	0.00186	0.00021	0.00004	0.00173
waterford	0.00176	0.93874	0.00124	0.00386	0.00050	0.00532	0.00403	0.01768	0.00288	0.00027	0.02380
waterfront	0.00262	0.04275	0.00074	0.00273	0.00109	0.00324	0.00410	0.76362	0.00185	0.00057	0.12330
waterloo	0.00287	0.07173	0.01856	0.00707	0.00158	0.02142	0.03077	0.24134	0.01302	0.00047	0.01574
waters	0.00212	0.99313	0.00036	0.00123	0.00034	0.00175	0.00110	0.01049	0.00063	0.00008	0.00617
watershed	0.00163	0.99749	0.00025	0.00080	0.00022	0.00080	0.00059	0.00330	0.00035	0.00012	0.00308
waterway	0.00145	0.71567	0.00051	0.00158	0.00124	0.00158	0.00098	0.44655	0.00045	0.00011	0.01699
waterways	0.00179	0.98381	0.00043	0.00099	0.00057	0.00350	0.00077	0.03255	0.00072	0.00007	0.00932
watford	0.00116	0.01419	0.03009	0.37786	0.00198	0.04389	0.00796	0.01601	0.01931	0.00037	0.00423
watkins	0.00769	0.04060	0.08044	0.00339	0.00487	0.15866	0.00843	0.00706	0.21386	0.00087	0.05747
watson	0.00228	0.77153	0.01045	0.00479	0.00081	0.01433	0.01186	0.03649	0.00635	0.00023	0.01745
watt	0.00479	0.02984	0.08854	0.00600	0.00260	0.12567	0.02859	0.05447	0.06312	0.00094	0.04013
watts	0.00466	0.02112	0.07234	0.00452	0.00199	0.11653	0.01936	0.06008	0.04030	0.00096	0.10132
wave	0.00436	0.20454	0.08001	0.00619	0.00109	0.02124	0.02049	0.03709	0.01331	0.00074	0.04973
wavelength	0.00245	0.99595	0.00037	0.00117	0.00015	0.00116	0.00097	0.00698	0.00029	0.00006	0.00344
waves	0.00264	0.97107	0.00092	0.00190	0.00054	0.00222	0.00168	0.01755	0.00121	0.00011	0.01002
wax	0.00623	0.03417	0.00413	0.00166	0.00129	0.05873	0.00831	0.46158	0.00818	0.00089	0.05308
way	0.00618	0.80941	0.00397	0.00228	0.00083	0.00605	0.01289	0.03166	0.00353	0.00019	0.01289
wayne	0.00103	0.58398	0.00712	0.00914	0.00144	0.00815	0.01479	0.07311	0.00564	0.00038	0.02787
ways	0.01375	0.04018	0.03433	0.00212	0.00760	0.10459	0.00714	0.00672	0.47228	0.00081	0.02208
we	0.01669	0.07031	0.08793	0.00186	0.00321	0.07299	0.01171	0.00584	0.23001	0.00085	0.04481
weak	0.00340	0.91480	0.00275	0.00211	0.00106	0.00602	0.01588	0.00805	0.01989	0.00021	0.03078
weaken	0.00727	0.00908	0.00948	0.00088	0.00336	0.02727	0.00568	0.00079	0.89138	0.00039	0.00896
weakened	0.00525	0.03627	0.01685	0.00216	0.00391	0.03553	0.01526	0.00217	0.61232	0.00065	0.02306
weakening	0.00544	0.00886	0.00891	0.00091	0.00261	0.02840	0.00755	0.00096	0.87012	0.00050	0.01004
weaker	0.00430	0.95933	0.00125	0.00225	0.00050	0.00154	0.00531	0.00966	0.00195	0.00010	0.01038
weakness	0.00292	0.50216	0.01929	0.00329	0.00231	0.01102	0.02636	0.00427	0.14150	0.00086	0.02977
weaknesses	0.00757	0.01652	0.01184	0.01934	0.03355	0.01178	0.03640	0.01843	0.06218	0.00050	0.00798
wealth	0.00580	0.00957	0.00960	0.00104	0.00249	0.18308	0.00336	0.00119	0.62079	0.00068	0.01621
wealthiest	0.00212	0.00357	0.00522	0.00250	0.00205	0.75054	0.00310	0.00083	0.09445	0.00086	0.00727
wealthy	0.00727	0.01904	0.01376	0.00115	0.00326	0.12328	0.00584	0.00174	0.58886	0.00095	0.02848
weapon	0.00147	0.00734	0.00068	0.00059	0.01117	0.00302	0.01526	0.91034	0.00091	0.00013	0.00412
weaponry	0.00110	0.00504	0.00056	0.00046	0.02125	0.00586	0.02033	0.87034	0.00093	0.00010	0.00388
weapons	0.00193	0.01033	0.00130	0.00116	0.01162	0.00920	0.03231	0.73909	0.00378	0.00016	0.00492
wear	0.00162	0.03119	0.00249	0.00348	0.00163	0.00794	0.01079	0.84375	0.00209	0.00031	0.00947
wearing	0.00503	0.89093	0.00191	0.00361	0.00074	0.00377	0.01395	0.02961	0.00239	0.00016	0.01000
wears	0.00212	0.98094	0.00080	0.00298	0.00051	0.00155	0.00300	0.01204	0.00141	0.00010	0.00748
weather	0.00156	0.03707	0.00105	0.00076	0.00280	0.00306	0.02415	0.83650	0.00121	0.00023	0.00613
weaver	0.00178	0.96174	0.00101	0.00232	0.00061	0.00346	0.00203	0.02086	0.00178	0.00015	0.01869
weaving	0.00783	0.02037	0.00386	0.00083	0.00281	0.10015	0.00927	0.27748	0.01818	0.00042	0.04139
web	0.00973	0.05982	0.07587	0.00385	0.00319	0.04329	0.04828	0.03081	0.06453	0.00129	0.01381
webb	0.00423	0.11012	0.06950	0.00874	0.00247	0.06230	0.03809	0.04098	0.05966	0.00156	0.05480
webber	0.00307	0.95366	0.00114	0.00303	0.00055	0.00295	0.00378	0.02077	0.00184	0.00021	0.01441
weber	0.00192	0.44137	0.09098	0.00660	0.00132	0.01586	0.00730	0.01417	0.02448	0.00028	0.01765
website	0.00902	0.02603	0.05379	0.00307	0.00893	0.29019	0.00674	0.00907	0.23044	0.00071	0.03589
websites	0.00459	0.00878	0.01856	0.00299	0.01180	0.42852	0.00345	0.00390	0.19047	0.00036	0.01234
webster	0.00190	0.89449	0.00163	0.00439	0.00054	0.00710	0.00620	0.02627	0.00320	0.00034	0.05142
wed	0.00959	0.01500	0.02865	0.00321	0.00573	0.11820	0.00770	0.00298	0.48094	0.00073	0.03385
wedding	0.08886	0.03762	0.01431	0.00238	0.00129	0.02011	0.05998	0.03269	0.01609	0.00113	0.02074
weddings	0.05487	0.00435	0.00200	0.00229	0.00124	0.02271	0.00276	0.00548	0.00393	0.00087	0.59902
wedge	0.00313	0.02291	0.04217	0.00299	0.00314	0.02261	0.06712	0.10324	0.02172	0.00056	0.02036
wednesday	0.00536	0.38325	0.04800	0.00609	0.00070	0.00531	0.03608	0.00738	0.00893	0.00050	0.01323
wee	0.00322	0.24283	0.09933	0.00433	0.00150	0.02411	0.05159	0.00494	0.06546	0.00105	0.01576
weed	0.00084	0.99831	0.00030	0.00109	0.00021	0.00136	0.00089	0.00268	0.00044	0.00005	0.00370
week	0.00885	0.43112	0.07317	0.00304	0.00075	0.00472	0.02285	0.00484	0.01110	0.00040	0.00628
weekday	0.00808	0.03770	0.00234	0.00130	0.00228	0.00445	0.00333	0.91426	0.00062	0.00029	0.00761
weekdays	0.46444	0.04273	0.00181	0.00115	0.00053	0.00560	0.01595	0.10065	0.00086	0.00039	0.00625
weekend	0.44915	0.03536	0.01053	0.00224	0.00100	0.01328	0.04059	0.00873	0.00916	0.00118	0.00593
weekends	0.02274	0.31354	0.03619	0.00419	0.00065	0.01660	0.01991	0.01970	0.00665	0.00073	0.04201
weekly	0.02715	0.01819	0.02820	0.00155	0.00299	0.15104	0.00609	0.00296	0.51884	0.00088	0.01314
weeks	0.00304	0.33344	0.08738	0.00466	0.00079	0.00483	0.02286	0.00438	0.01611	0.00042	0.01481
wehrmacht	0.00709	0.01453	0.00979	0.00064	0.00065	0.00618	0.65819	0.00235	0.11025	0.00045	0.00809
wei	0.00437	0.31737	0.06156	0.00436	0.00249	0.03010	0.01627	0.01672	0.06952	0.00083	0.03399
weigh	0.00175	0.99547	0.00035	0.00132	0.00027	0.00106	0.00059	0.00765	0.00034	0.00010	0.00289
weighed	0.00136	0.96514	0.00050	0.00409	0.00032	0.00101	0.00153	0.01712	0.00072	0.00019	0.00691
weighing	0.00156	0.97902	0.00059	0.00270	0.00024	0.00166	0.00060	0.01829	0.00063	0.00014	0.00810
weighs	0.00121	0.99666	0.00030	0.00183	0.00025	0.00115	0.00131	0.00522	0.00063	0.00005	0.00497
weight	0.00322	0.84810	0.00079	0.00561	0.00139	0.00236	0.00187	0.20656	0.00079	0.00017	0.01063
weighted	0.00312	0.98074	0.00082	0.00204	0.00040	0.00198	0.00165	0.01392	0.00092	0.00008	0.00849
weights	0.00059	0.01279	0.00111	0.00191	0.00191	0.00554	0.00266	0.97189	0.00063	0.00016	0.01101
weimar	0.00993	0.01060	0.02045	0.00142	0.00267	0.07686	0.00489	0.00225	0.70355	0.00072	0.01278
weir	0.00236	0.70960	0.00082	0.00252	0.00097	0.00528	0.00908	0.15115	0.00211	0.00033	0.04978
weird	0.00910	0.12278	0.15394	0.00339	0.00177	0.02981	0.03679	0.01356	0.03743	0.00123	0.01796
weiss	0.00825	0.02353	0.05841	0.00391	0.00954	0.10548	0.00688	0.00364	0.45315	0.00074	0.02191
welch	0.00239	0.20645	0.11798	0.01086	0.00172	0.02818	0.01997	0.01582	0.03661	0.00089	0.02661
welcome	0.00514	0.88412	0.00755	0.00253	0.00043	0.00472	0.00595	0.01645	0.00271	0.00014	0.01177
welcomed	0.01202	0.03374	0.04033	0.00351	0.00462	0.10751	0.00600	0.00351	0.52252	0.00087	0.02117
welcoming	0.00270	0.92765	0.00198	0.00350	0.00061	0.00494	0.00564	0.01977	0.00375	0.00025	0.02635
welded	0.00041	0.00176	0.00067	0.00069	0.00110	0.00515	0.00575	0.97267	0.00022	0.00014	0.00737
welfare	0.00534	0.00596	0.00570	0.00121	0.00188	0.06828	0.00350	0.00073	0.87603	0.00042	0.00670
well	0.00535	0.38351	0.03718	0.00289	0.00119	0.03424	0.01402	0.03244	0.02780	0.00076	0.04578
wellesley	0.00213	0.43881	0.02270	0.00662	0.00186	0.05044	0.02572	0.02333	0.03484	0.00209	0.08848
wellington	0.00504	0.04000	0.03091	0.00795	0.00615	0.19119	0.01518	0.00975	0.22334	0.00100	0.05721
wells	0.00232	0.59698	0.00092	0.00228	0.00100	0.00767	0.00773	0.16051	0.00264	0.00047	0.12236
welsh	0.00411	0.28096	0.11144	0.00496	0.00157	0.02667	0.01676	0.00851	0.05188	0.00075	0.02769
welterweight	0.00392	0.02444	0.03442	0.32548	0.00233	0.03045	0.00160	0.00055	0.03744	0.00032	0.00547
wembley	0.00134	0.10686	0.16908	0.12078	0.00095	0.00692	0.00977	0.01489	0.00376	0.00026	0.00793
wen	0.00572	0.15642	0.03106	0.00741	0.00524	0.06964	0.01010	0.01130	0.24747	0.00076	0.05554
wendell	0.00273	0.11566	0.08465	0.01127	0.00245	0.02554	0.03228	0.03999	0.03765	0.00087	0.03764
wendy	0.00507	0.25825	0.06703	0.00495	0.00321	0.03670	0.00821	0.00724	0.15692	0.00059	0.04044
went	0.00931	0.03392	0.03080	0.00394	0.00355	0.15231	0.01765	0.00623	0.33229	0.00097	0.04724
wentworth	0.00265	0.60458	0.00079	0.00221	0.00104	0.00665	0.00766	0.16498	0.00309	0.00050	0.08746
weren	0.00453	0.04194	0.09298	0.00385	0.00269	0.07638	0.04077	0.03108	0.09071	0.00143	0.03328
werner	0.00776	0.02629	0.07547	0.00528	0.00841	0.18544	0.01106	0.00768	0.23903	0.00066	0.04186
wes	0.00900	0.03649	0.02866	0.00354	0.00134	0.01556	0.38280	0.00363	0.11295	0.00074	0.00591
wesley	0.00304	0.09988	0.06370	0.01496	0.00391	0.05225	0.02786	0.03210	0.08598	0.00123	0.05206
wesleyan	0.00388	0.16101	0.02984	0.01592	0.00430	0.08437	0.01862	0.01949	0.08118	0.00189	0.15229
west	0.00202	0.96627	0.00085	0.00227	0.00036	0.00302	0.00142	0.01988	0.00116	0.00016	0.01278
westbound	0.00038	0.00277	0.00105	0.00052	0.00196	0.00164	0.00342	0.98900	0.00013	0.00011	0.00204
westchester	0.00129	0.90179	0.00125	0.00270	0.00040	0.00421	0.00156	0.03185	0.00169	0.00038	0.05530
westerly	0.00096	0.99548	0.00038	0.00112	0.00018	0.00188	0.00066	0.00501	0.00048	0.00009	0.00576
western	0.00216	0.95963	0.00106	0.00231	0.00053	0.00411	0.00227	0.01855	0.00178	0.00016	0.01464
westernmost	0.00056	0.99692	0.00032	0.00104	0.00020	0.00163	0.00121	0.00268	0.00063	0.00005	0.00647
westminster	0.00406	0.17559	0.03582	0.00738	0.00171	0.05426	0.01962	0.05121	0.02328	0.00162	0.19357
weston	0.00189	0.79249	0.00686	0.00587	0.00085	0.02263	0.00573	0.03714	0.00768	0.00043	0.05961
westphalia	0.00470	0.00830	0.01303	0.00137	0.00269	0.06925	0.00410	0.00113	0.72919	0.00073	0.01552
westward	0.00268	0.96959	0.00064	0.00102	0.00042	0.00254	0.00413	0.01104	0.00192	0.00012	0.00965
westwards	0.00162	0.97590	0.00058	0.00113	0.00031	0.00275	0.00470	0.00497	0.00264	0.00008	0.01180
westwood	0.00125	0.00760	0.00269	0.00208	0.00340	0.02139	0.00465	0.90957	0.00206	0.00018	0.00637
wet	0.00213	0.98804	0.00042	0.00168	0.00032	0.00178	0.00129	0.00933	0.00080	0.00008	0.00892
wetland	0.00074	0.99733	0.00028	0.00124	0.00029	0.00139	0.00183	0.00341	0.00087	0.00004	0.00788
wetlands	0.00117	0.99661	0.00029	0.00089	0.00025	0.00132	0.00058	0.00535	0.00043	0.00008	0.00673
whale	0.00399	0.97214	0.00060	0.00153	0.00047	0.00302	0.00155	0.02294	0.00102	0.00014	0.01004
whales	0.00241	0.99451	0.00037	0.00121	0.00040	0.00265	0.00087	0.00856	0.00071	0.00007	0.00576
wharf	0.00133	0.00997	0.00047	0.00129	0.00109	0.00465	0.00267	0.94977	0.00056	0.00023	0.05443
wharton	0.00427	0.01649	0.05900	0.00466	0.01447	0.33464	0.00695	0.00636	0.15145	0.00063	0.03653
what	0.00610	0.85352	0.00251	0.00210	0.00081	0.00452	0.01354	0.02621	0.00269	0.00022	0.01905
whatever	0.00479	0.34931	0.07827	0.00311	0.00099	0.01137	0.01899	0.00571	0.03332	0.00045	0.01999
whatsoever	0.01077	0.04792	0.03293	0.00215	0.00454	0.13497	0.00876	0.00535	0.39119	0.00087	0.04606
wheat	0.00161	0.96448	0.00129	0.00179	0.00033	0.00986	0.00059	0.00822	0.00208	0.00013	0.06369
wheel	0.00082	0.00786	0.00098	0.00070	0.00357	0.00271	0.00495	0.97739	0.00035	0.00015	0.00485
wheelchair	0.00092	0.04185	0.00245	0.03426	0.00392	0.00413	0.00590	0.67870	0.00246	0.00014	0.00477
wheeled	0.00031	0.00215	0.00047	0.00057	0.00231	0.00375	0.00535	0.98807	0.00013	0.00010	0.00227
wheeler	0.00127	0.15285	0.00146	0.00246	0.00071	0.00774	0.00493	0.69298	0.00202	0.00035	0.02398
wheels	0.00186	0.00808	0.00109	0.00071	0.00674	0.00294	0.00851	0.95572	0.00044	0.00014	0.00277
whence	0.00140	0.93251	0.00100	0.00138	0.00030	0.00792	0.00317	0.00763	0.00352	0.00020	0.04141
whenever	0.00561	0.92334	0.00105	0.00168	0.00069	0.00394	0.00943	0.01729	0.00344	0.00019	0.02515
where	0.00432	0.38035	0.02733	0.00487	0.00158	0.04797	0.01618	0.03124	0.02739	0.00168	0.12342
whereabouts	0.00352	0.27284	0.02004	0.00726	0.00290	0.02252	0.04058	0.01401	0.09984	0.00292	0.05265
whereas	0.00261	0.97150	0.00068	0.00172	0.00046	0.00242	0.00160	0.01522	0.00128	0.00012	0.01230
whereby	0.00938	0.04388	0.01555	0.00118	0.00122	0.08716	0.01690	0.10337	0.05007	0.00115	0.07706
wherein	0.00586	0.02428	0.00094	0.00135	0.00411	0.00533	0.01088	0.84311	0.00199	0.00039	0.01136
whereupon	0.00484	0.12052	0.02330	0.00590	0.00314	0.06213	0.01916	0.00603	0.19931	0.00176	0.15082
wherever	0.00600	0.85791	0.00253	0.00196	0.00077	0.00975	0.01094	0.01908	0.00473	0.00028	0.03761
whether	0.00844	0.89062	0.00114	0.00173	0.00062	0.00325	0.01339	0.01426	0.00394	0.00016	0.02352
whig	0.00299	0.00674	0.00382	0.00052	0.00122	0.01293	0.00250	0.00020	0.95883	0.00053	0.00541
while	0.00308	0.47546	0.01629	0.00485	0.00103	0.01873	0.02728	0.04602	0.01820	0.00072	0.03652
whilst	0.00820	0.06140	0.03768	0.00483	0.00471	0.09222	0.02381	0.01067	0.26988	0.00115	0.03924
whip	0.00602	0.02119	0.02325	0.00423	0.01196	0.08172	0.00475	0.00299	0.63236	0.00049	0.01407
whiskey	0.00380	0.38757	0.03332	0.00279	0.00079	0.05656	0.00672	0.05396	0.01249	0.00055	0.05493
whistle	0.00379	0.29406	0.08170	0.00520	0.00108	0.00808	0.05192	0.01099	0.01238	0.00081	0.01103
white	0.00442	0.94448	0.00153	0.00262	0.00062	0.00396	0.00664	0.01812	0.00217	0.00022	0.01632
whites	0.00238	0.83435	0.01055	0.00321	0.00053	0.00793	0.02262	0.00224	0.05640	0.00054	0.01327
whitish	0.00092	0.99875	0.00023	0.00098	0.00015	0.00092	0.00067	0.00184	0.00032	0.00006	0.00190
whitman	0.00322	0.23409	0.04542	0.00497	0.00223	0.05628	0.01160	0.04365	0.02896	0.00131	0.11904
whitney	0.00273	0.91152	0.00192	0.00412	0.00073	0.00778	0.00562	0.03014	0.00305	0.00032	0.03633
whoever	0.00314	0.93597	0.00113	0.00255	0.00099	0.00370	0.00364	0.02907	0.00215	0.00016	0.01787
whole	0.00482	0.90368	0.00178	0.00207	0.00071	0.00617	0.00787	0.02099	0.00399	0.00024	0.03295
wholesale	0.00248	0.00250	0.00448	0.00801	0.00638	0.37811	0.00574	0.00050	0.24400	0.00028	0.00249
wholly	0.00282	0.58477	0.00179	0.00207	0.00114	0.01854	0.00282	0.25163	0.00359	0.00029	0.03791
whom	0.00843	0.02804	0.03118	0.00491	0.00669	0.16397	0.01008	0.00327	0.49196	0.00083	0.02098
whorls	0.00214	0.99264	0.00055	0.00088	0.00014	0.00048	0.00121	0.00113	0.00068	0.00014	0.00323
whose	0.00486	0.10781	0.06312	0.00501	0.00220	0.05706	0.02265	0.06292	0.04255	0.00133	0.09209
why	0.01092	0.77147	0.00355	0.00215	0.00083	0.00538	0.01563	0.02600	0.00383	0.00021	0.01578
wi	0.00284	0.01412	0.00942	0.00289	0.00109	0.04758	0.02252	0.01639	0.01652	0.00088	0.55126
wichita	0.00119	0.92072	0.00419	0.00589	0.00050	0.00719	0.00202	0.02476	0.00289	0.00027	0.03027
wicked	0.00426	0.31821	0.17356	0.00355	0.00167	0.01529	0.00669	0.00427	0.06691	0.00050	0.01558
wicket	0.00047	0.00338	0.00242	0.97680	0.00048	0.00162	0.00573	0.00041	0.00550	0.00066	0.00321
wickets	0.00041	0.00447	0.00211	0.98278	0.00066	0.00153	0.00380	0.00039	0.00482	0.00042	0.00111
wide	0.00275	0.96211	0.00104	0.00237	0.00052	0.00507	0.00264	0.01569	0.00229	0.00016	0.01803
widely	0.00677	0.16412	0.06766	0.00399	0.00226	0.08951	0.01462	0.04160	0.05322	0.00122	0.06917
widened	0.00248	0.00473	0.00066	0.00149	0.00162	0.00621	0.00473	0.75446	0.00090	0.00022	0.15195
widening	0.00182	0.01036	0.00062	0.00203	0.00171	0.00552	0.00336	0.81834	0.00163	0.00028	0.10259
wider	0.01511	0.04815	0.03073	0.00171	0.00322	0.12185	0.00713	0.00390	0.42473	0.00098	0.03499
widespread	0.00535	0.95554	0.00072	0.00082	0.00031	0.00443	0.00376	0.01100	0.00279	0.00014	0.01437
widest	0.00118	0.99729	0.00036	0.00104	0.00021	0.00183	0.00078	0.00385	0.00050	0.00006	0.00514
widow	0.00801	0.01985	0.01745	0.00232	0.00287	0.06393	0.01485	0.00244	0.53382	0.00093	0.03503
widowed	0.00926	0.01585	0.01752	0.00165	0.00472	0.10003	0.00706	0.00199	0.61241	0.00074	0.01925
widower	0.01038	0.01205	0.01425	0.00212	0.00357	0.12034	0.00980	0.00250	0.57974	0.00055	0.01216
widows	0.00806	0.01916	0.01804	0.00165	0.00441	0.09934	0.00780	0.00270	0.62743	0.00080	0.01720
width	0.00172	0.99619	0.00033	0.00123	0.00026	0.00080	0.00066	0.00577	0.00031	0.00008	0.00293
wife	0.00967	0.01958	0.02176	0.00350	0.00692	0.13959	0.00990	0.00346	0.54853	0.00070	0.01632
wigan	0.00103	0.19493	0.08452	0.03629	0.00111	0.00691	0.02566	0.01030	0.01251	0.00042	0.01990
wight	0.00179	0.89678	0.00667	0.00400	0.00063	0.01177	0.00724	0.01304	0.00903	0.00024	0.03152
wii	0.00438	0.00081	0.00113	0.00070	0.97023	0.00232	0.00033	0.00110	0.00131	0.00009	0.00227
wikipedia	0.00503	0.25503	0.02457	0.00692	0.00420	0.04145	0.03029	0.01936	0.12447	0.00247	0.08763
wild	0.00308	0.99226	0.00049	0.00178	0.00025	0.00120	0.00118	0.00740	0.00059	0.00007	0.00384
wildcats	0.00094	0.01044	0.00647	0.91535	0.00121	0.00389	0.00257	0.00060	0.00698	0.00031	0.00111
wilde	0.00349	0.33329	0.35836	0.00369	0.00066	0.00804	0.00392	0.00228	0.01141	0.00025	0.00497
wilder	0.00304	0.49052	0.08613	0.00423	0.00090	0.00676	0.01192	0.00870	0.00730	0.00028	0.01091
wilderness	0.00212	0.99010	0.00050	0.00183	0.00038	0.00186	0.00133	0.00871	0.00096	0.00009	0.00772
wildlife	0.00198	0.98848	0.00051	0.00184	0.00038	0.00275	0.00116	0.01263	0.00103	0.00008	0.00953
wildly	0.00652	0.58816	0.01568	0.00329	0.00060	0.01951	0.01249	0.03689	0.00789	0.00041	0.01798
wiley	0.00342	0.00551	0.01555	0.00692	0.01524	0.15236	0.00344	0.00090	0.34173	0.00030	0.00950
wilfred	0.00338	0.21787	0.03619	0.01140	0.00150	0.02738	0.11786	0.00817	0.07467	0.00139	0.01359
wilhelm	0.00632	0.04344	0.02886	0.00419	0.00502	0.12391	0.01497	0.00753	0.29140	0.00091	0.07258
wilkes	0.00228	0.20575	0.04925	0.00678	0.00248	0.04292	0.01470	0.03266	0.03812	0.00135	0.08916
wilkins	0.00213	0.65438	0.04521	0.00336	0.00090	0.01932	0.00522	0.01119	0.02777	0.00030	0.02485
